 # l_c   lmin  lmax   D_l      +dD_l     -dD_l
   2.0     2     2   225.895   533.062   132.369
   3.0     3     3   936.920  1212.308   450.471
   4.0     4     4   692.238   666.469   294.111
   5.0     5     5  1501.705  1155.804   574.432
   6.0     6     6   557.611   375.763   201.242
   7.0     7     7  1152.643   670.824   381.584
   8.0     8     8   615.846   323.446   191.997
   9.0     9     9   697.821   349.581   214.638
  10.0    10    10   803.658   367.945   232.846
  11.0    11    11   869.580   371.043   240.260
  12.0    12    12   764.074   310.576   204.951
  13.0    13    13   599.003   235.581   158.593
  14.0    14    14   808.139   290.751   199.370
  15.0    15    15  1022.111   349.700   243.487
  16.0    16    16   621.292   215.798   150.977
  17.0    17    17  1035.378   332.095   236.167
  18.0    18    18   674.593   216.872   156.341
  19.0    19    19   951.642   290.997   211.554
  20.0    20    20   659.863   197.637   144.780
  21.0    21    21   601.924   185.258   136.050
  22.0    22    22   605.295   177.041   131.698
  23.0    23    23   748.519   208.700   155.938
  24.0    24    24   850.496   233.216   175.600
  25.0    25    25   814.268   224.306   169.433
  26.0    26    26   823.803   215.355   164.398
  27.0    27    27  1004.022   247.879   190.293
  28.0    28    28  1149.889   279.078   215.090
  29.0    29    29   979.567   236.655   183.071
  30.0    30    30   922.670   219.632   170.874
  31.0    31    31  1066.833   243.992   190.741
  32.0    32    32  1419.010   312.646   245.588
  33.0    33    33  1048.334   232.682   183.198
  34.0    34    34  1097.472   241.239   189.955
  35.0    35    35   986.612   217.926   172.997
  36.0    36    36  1123.430   240.393   191.343
  37.0    37    37  1300.511   268.014   214.165
  38.0    38    38  1245.001   253.678   203.083
  39.0    39    39  1199.714   242.435   194.937
  40.0    40    40  1905.251   370.519   298.881
  41.0    41    41  1205.690   237.021   191.553
  42.0    42    42  1386.233   269.840   218.550
  43.0    43    43  1441.098   272.515   221.783
  44.0    44    44  1215.380   235.456   191.862
  45.0    45    45   874.720   170.948   139.098
  46.0    46    46  1042.095   196.290   161.028
  47.0    47    47  1738.355   306.261   251.070
  48.0    48    48  1040.103   194.083   159.378
  49.0    49    49  1597.314   279.375   230.149
  50.0    50    50  1512.663   262.597   217.354
  51.0    51    51  1064.310   191.353   157.679
  52.0    52    52  1628.489   278.696   231.300
  53.0    53    53  1096.731   192.078   159.019
  54.0    54    54  1102.399   192.373   159.769
  55.0    55    55  1495.858   248.550   207.074
  56.0    56    56  1773.526   292.234   243.856
  57.0    57    57  1543.872   250.850   209.924
  58.0    58    58  1734.214   278.183   232.523
  59.0    59    59  1268.366   208.935   175.224
  60.0    60    60  1752.907   276.489   232.281
  61.0    61    61  1654.007   266.084   223.597
  62.0    62    62  1988.545   308.630   259.565
  63.0    63    63  1834.305   287.360   242.551
  64.0    64    64  1560.877   244.183   206.294
  65.0    65    65  1576.245   243.404   205.897
  66.0    66    66  1518.312   232.189   197.483
  67.0    67    67  1784.402   269.320   228.190
  68.0    68    68  1749.996   257.722   218.474
  69.0    69    69  2213.393   321.132   273.383
  70.0    70    70  1873.343   278.384   237.059
  71.0    71    71  1683.584   248.378   211.599
  72.0    72    72  1617.987   237.452   202.746
  73.0    73    73  2744.798   384.468   327.441
  74.0    74    74  2000.567   283.956   243.169
  75.0    75    75  1857.487   268.383   230.254
  76.0    76    76  1763.239   252.602   216.206
  77.0    77    77  2150.199   303.547   259.991
  78.0    78    78  1808.199   253.113   216.355
  79.0    79    79  1586.734   225.935   193.351
  80.0    80    80  2350.280   321.092   275.094
  81.0    81    81  2300.762   309.949   266.819
  82.0    82    82  2685.011   352.846   304.076
  83.0    83    83  1912.463   262.119   225.852
  84.0    84    84  1957.890   264.293   227.719
  85.0    85    85  2467.443   321.955   278.060
  86.0    86    86  2493.687   324.392   280.764
  87.0    87    87  2491.340   318.909   276.671
  88.0    88    88  1950.199   263.568   227.544
  89.0    89    89  2487.945   318.374   276.856
  90.0    90    90  2549.413   325.727   281.943
  91.0    91    91  2607.894   331.382   287.650
  92.0    92    92  2607.632   327.659   283.751
  93.0    93    93  2946.360   368.875   319.672
  94.0    94    94  2178.697   280.173   243.051
  95.0    95    95  2014.236   255.682   222.395
  96.0    96    96  2367.651   293.339   256.092
  97.0    97    97  2640.030   325.428   283.331
  98.0    98    98  1979.068   250.169   218.498
  99.0    99    99  2819.944   338.684   295.737
 100.0   100   100  2799.991   337.591   295.334
 101.0   101   101  2881.734   347.605   304.265
 102.0   102   102  2791.586   333.796   292.482
 103.0   103   103  2600.694   311.672   273.472
 104.0   104   104  3425.975   400.664   350.601
 105.0   105   105  2377.945   287.381   252.624
 106.0   106   106  2935.519   343.188   301.783
 107.0   107   107  2819.756   326.948   286.659
 108.0   108   108  3681.375   415.485   364.823
 109.0   109   109  3192.944   366.550   322.349
 110.0   110   110  3334.041   381.164   335.511
 111.0   111   111  2822.292   327.798   288.116
 112.0   112   112  3106.417   355.887   312.460
 113.0   113   113  2491.766   289.908   254.788
 114.0   114   114  2155.091   250.857   221.688
 115.0   115   115  3448.098   380.713   335.502
 116.0   116   116  3626.946   394.123   348.448
 117.0   117   117  4297.389   461.166   408.488
 118.0   118   118  3552.298   384.887   340.636
 119.0   119   119  3522.975   387.009   341.217
 120.0   120   120  2888.450   321.470   284.162
 121.0   121   121  4367.382   466.966   414.321
 122.0   122   122  3466.944   375.453   332.361
 123.0   123   123  3665.831   394.607   349.514
 124.0   124   124  2834.079   309.995   273.249
 125.0   125   125  3310.858   356.552   317.184
 126.0   126   126  3679.790   387.708   345.300
 127.0   127   127  3791.403   400.550   355.619
 128.0   128   128  3402.682   367.809   326.396
 129.0   129   129  3267.866   350.347   311.449
 130.0   130   130  3837.589   402.707   358.337
 131.0   131   131  3477.960   364.613   324.077
 132.0   132   132  3371.223   357.750   317.759
 133.0   133   133  3645.424   383.047   340.370
 134.0   134   134  3558.466   371.996   331.623
 135.0   135   135  3822.772   389.774   346.676
 136.0   136   136  4657.078   465.892   414.498
 137.0   137   137  4059.375   412.212   367.473
 138.0   138   138  4011.607   406.505   363.451
 139.0   139   139  4128.381   417.469   370.547
 140.0   140   140  3932.923   400.636   358.346
 141.0   141   141  4247.100   426.764   380.970
 142.0   142   142  4076.866   408.238   365.133
 143.0   143   143  4460.793   447.241   399.907
 144.0   144   144  3921.966   392.348   351.606
 145.0   145   145  5146.010   502.800   449.907
 146.0   146   146  4235.502   416.091   373.003
 147.0   147   147  4099.131   405.030   362.440
 148.0   148   148  3743.555   370.829   332.110
 149.0   149   149  3899.429   388.479   346.794
 150.0   150   150  4850.664   465.738   415.601
 151.0   151   151  4352.184   422.983   379.258
 152.0   152   152  4405.198   430.776   385.239
 153.0   153   153  5063.325   484.343   434.789
 154.0   154   154  4215.927   404.705   363.361
 155.0   155   155  4501.422   431.007   386.570
 156.0   156   156  4537.192   431.578   388.480
 157.0   157   157  4853.654   461.591   414.877
 158.0   158   158  4970.635   464.458   416.272
 159.0   159   159  4849.171   454.001   407.131
 160.0   160   160  4893.830   460.891   414.188
 161.0   161   161  4515.894   420.716   378.531
 162.0   162   162  4201.077   395.343   356.333
 163.0   163   163  4565.039   427.122   383.907
 164.0   164   164  4839.268   450.275   404.413
 165.0   165   165  4902.069   454.173   408.688
 166.0   166   166  4865.644   443.060   399.345
 167.0   167   167  4867.638   449.235   404.577
 168.0   168   168  5159.399   469.830   425.678
 169.0   169   169  4786.050   446.819   401.804
 170.0   170   170  4768.512   441.031   397.651
 171.0   171   171  4763.458   432.943   389.678
 172.0   172   172  5382.774   491.709   443.831
 173.0   173   173  5209.695   470.183   424.010
